index,ra,dec,mag
560,14.727624,-35.173655,4.06
561,16.993069,-53.160438,4.06
562,14.266908,-6.000547,4.07
563,15.147394,-45.279857,4.07
564,15.291917,-58.801208,4.07
565,22.486183,58.415198,4.07
566,0.788981,24.267178,4.08
567,2.362498,-68.659418,4.08
568,2.658044,0.328511,4.08
569,3.039863,-23.624472,4.08
570,6.903167,-12.038628,4.08
571,9.574071,-59.229753,4.08
572,10.996244,-18.298783,4.08
573,18.922249,43.946088,4.08
574,21.099118,-17.232861,4.08
575,21.36811,19.804508,4.08
576,5.615108,9.290673,4.09
577,15.812327,18.141564,4.09
578,1.613299,41.405459,4.1
579,2.736634,49.228448,4.1
580,7.820638,-46.373205,4.1
581,18.480505,-49.070588,4.1
582,19.167154,-39.340796,4.1
583,2.677781,-39.855375,4.11
584,7.062637,-15.633286,4.11
585,8.627399,-42.989081,4.11
586,9.85797,-14.846603,4.11
587,10.591166,-78.607786,4.11
588,11.775232,-61.178398,4.11
589,15.612,-66.317037,4.11
590,19.157869,-37.904474,4.11
591,23.014677,-52.754137,4.11
592,2.659799,-68.266946,4.12
593,4.248295,48.409331,4.12
594,6.039722,9.647276,4.12
595,12.086817,8.732985,4.12
596,19.921026,-41.868288,4.12
597,20.863692,-26.919133,4.12
598,22.495955,-43.749224,4.12
599,5.399119,-7.808065,4.13
600,6.482719,20.212133,4.13
601,15.897093,-16.729293,4.13
602,20.76826,-25.270898,4.13
603,22.767692,-81.381615,4.13
604,23.665844,5.626292,4.13
605,3.514549,12.936678,4.14
606,3.772104,23.948358,4.14
607,8.627602,5.703782,4.14
608,12.114687,-64.61373,4.14
609,15.548829,31.359133,4.14
610,15.959794,26.87788,4.14
611,21.744092,25.645036,4.14
612,22.26616,37.748737,4.14
613,7.197739,-0.492764,4.15
614,17.394708,37.145946,4.15
615,23.673469,44.333932,4.15
616,6.068671,23.263341,4.16
617,7.485195,31.78455,4.16
618,17.439504,-24.175309,4.16
619,0.549997,62.931783,4.17
620,3.824237,-36.20025,4.17
621,22.280565,-7.78329,4.17
622,14.214929,-10.273702,4.18
623,14.273074,46.088305,4.18
624,16.606242,-35.255326,4.18
625,22.250544,57.043587,4.18
626,22.677594,-27.043617,4.18
627,13.824091,-34.450776,4.19
628,18.761035,20.546308,4.19
629,5.51307,5.948139,4.2
630,7.94765,-22.880119,4.2
631,10.464727,36.707212,4.2
632,16.568384,42.437041,4.2
633,22.778216,12.172888,4.2
634,22.932472,-32.539628,4.2
635,3.484482,59.94033,4.21
636,4.422822,22.293874,4.21
637,16.766159,82.037262,4.21
638,20.493015,62.994105,4.21
639,21.440705,-65.366198,4.21
640,2.843063,38.318644,4.22
641,3.780804,-23.249723,4.22
642,7.888378,-48.102934,4.22
643,16.109874,-36.802288,4.22
644,16.450399,-18.456251,4.22
645,18.345955,71.337814,4.22
646,18.786242,-4.747867,4.22
647,18.870288,-62.187593,4.22
648,18.908412,36.898613,4.22
649,20.761043,30.719715,4.22
650,21.290265,39.394681,4.22
651,23.238711,-6.049003,4.22
652,0.334142,-64.874791,4.23
653,7.721867,28.88351,4.23
654,13.197904,27.878183,4.23
655,13.761471,-33.043721,4.23
656,14.027443,1.544532,4.23
657,16.146162,44.934906,4.23
658,16.718126,-77.517435,4.23
659,19.106971,-37.063437,4.23
660,21.725127,58.780046,4.23
661,21.779891,49.30957,4.23
662,1.145613,86.25709,4.24
663,2.449755,-47.70384,4.24
664,2.735375,-13.858696,4.24
665,12.305812,-79.31224,4.24
666,12.562411,41.35748,4.24
667,16.523037,-34.704366,4.24
668,17.690243,-12.875307,4.24
669,23.264859,-9.087737,4.24
670,1.262704,-68.875927,4.25
671,4.109735,50.351262,4.25
672,4.594239,10.16079,4.25
673,4.611508,41.264808,4.25
674,5.15244,-8.754081,4.25
675,8.380588,43.188131,4.25
676,12.890607,-40.178872,4.25
677,14.458758,75.695993,4.25
678,21.75748,61.120806,4.25
679,1.158368,47.241792,4.26
680,1.756564,9.157736,4.26
681,3.331944,-43.069784,4.26
682,3.563132,-21.632883,4.26
683,4.267097,-51.486648,4.26
684,4.900836,66.342678,4.26
685,8.974784,11.857701,4.26
686,17.609121,-38.635308,4.26
687,18.025113,21.595782,4.26
688,22.063135,64.627971,4.26
689,1.049058,7.890135,4.27
690,2.749039,10.114146,4.27
691,4.258905,8.892357,4.27
692,4.635961,12.510838,4.27
693,4.704084,22.956926,4.27
694,13.11518,-49.906246,4.27
695,15.308897,-47.875272,4.27
